datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value
0,2012,48009,20153,18622,663,10031.0,489.0,797.0,767.0,0.0,100789.0,993.0,339600.0,Oakland,128472.01928186275,1265.7404592454507,432875.5890833384
1,2013,48009,20241,18620,765,10138.0,553.0,704.0,669.0,0.0,98750.0,1070.0,347400.0,Oakland,124055.86116751158,1344.2002172074674,436425.37893259263
2,2015,48009,20489,18864,587,10669.0,407.0,827.0,730.0,37.0,108135.0,1121.0,410700.0,Oakland,133518.89706223604,1384.1465169165078,507108.8086508562
3,2017,48009,20836,19063,580,10795.0,393.0,914.0,726.0,92.0,114537.0,1223.0,467700.0,Oakland,136748.63632098562,1460.1707938968666,558398.920936684
4,2020,48009,21277,19011,688,10729.0,362.0,1001.0,790.0,114.0,126646.0,1498.0,538500.0,Oakland,143207.14780283681,1693.8893246423065,608918.1584244875
5,2019,48009,21201,19096,712,10990.0,271.0,1118.0,899.0,114.0,122804.0,1371.0,541500.0,Oakland,140575.8677446735,1569.4074678182092,619864.4375080675
6,2014,48009,20382,18775,722,10510.0,467.0,654.0,582.0,16.0,107161.0,1124.0,371100.0,Oakland,132473.31396576777,1389.498090700189,458756.88741889695
7,2011,48009,20037,18531,753,10033.0,437.0,809.0,786.0,0.0,100473.0,1056.0,342600.0,Oakland,130719.55425693188,1373.8999462076385,445736.85754804633
8,2018,48009,21066,19277,586,10751.0,296.0,1101.0,852.0,142.0,117670.0,1307.0,488700.0,Oakland,137139.60124568408,1523.2553652427052,569559.9823979419
9,2016,48009,20653,18787,656,10919.0,411.0,756.0,612.0,76.0,112545.0,1166.0,439000.0,Oakland,137232.9014362081,1421.7740732561965,535299.1579412266
10,2017,48017,11980,11272,155,7019.0,294.0,772.0,670.0,8.0,62949.0,747.0,156100.0,Oakland,75156.41153312662,891.8622919386422,186371.75873041773
11,2013,48017,11913,11101,80,6244.0,825.0,889.0,754.0,0.0,51868.0,709.0,126500.0,Oakland,65159.79146366067,890.6896766356023,158917.12848293892
12,2015,48017,11979,10931,197,6758.0,441.0,702.0,588.0,0.0,56302.0,722.0,126600.0,Oakland,69518.4809950341,891.484197336056,156318.42019770734
13,2014,48017,11943,11012,127,6518.0,692.0,950.0,804.0,0.0,54021.0,713.0,122900.0,Oakland,66781.20672394567,881.416493477967,151929.99586036766
