datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
920,2011,48809,11307,10592,29,4849.0,708.0,2282.0,1841.0,3.0,47920.0,499.0,116200.0,Kent,62345.9142256345,649.2197662477382,151181.03574746932,0.2564782877863271,93.67648359423366,6.261607853542054,0.13146362839614373,80.67484662576688
921,2019,48809,10728,10286,4,4962.0,312.0,1513.0,1408.0,0.0,52592.0,545.0,120600.0,Kent,60202.9741411344,623.8709481844814,138052.91073586876,0.03728560775540641,95.8799403430276,2.9082774049217,0.0,93.0601454064772
922,2015,48809,10690,9996,20,4784.0,613.0,1998.0,1884.0,3.0,45888.0,491.0,94200.0,Kent,56659.87097971875,606.2586438947417,116312.75815658792,0.18709073900841908,93.50795135640786,5.734331150608045,0.15015015015015015,94.29429429429429
923,2017,48809,10690,10298,43,4897.0,377.0,1616.0,1571.0,21.0,47132.0,519.0,103200.0,Kent,56272.09309725848,619.6472952023498,123213.10378590076,0.402245088868101,96.333021515435,3.5266604303087,1.2995049504950495,97.21534653465346
924,2018,48809,10789,10393,21,5074.0,280.0,1406.0,1367.0,1.0,51018.0,544.0,112500.0,Kent,59459.40491503622,634.0098842326179,131114.1764267822,0.19464269163036427,96.32959495782741,2.595235888404857,0.07112375533428165,97.226173541963
925,2016,48809,10861,10260,20,4721.0,483.0,1899.0,1772.0,1.0,45327.0,507.0,98000.0,Kent,55269.94289749882,618.2156562100272,119497.3063285654,0.1841451063437989,94.46643955436885,4.447104318202744,0.0526592943654555,93.31226961558716
926,2013,48809,10848,10248,41,4553.0,716.0,2249.0,1985.0,2.0,44533.0,473.0,97000.0,Kent,55945.110535420696,594.2118717188149,121857.40286834048,0.3779498525073746,94.46902654867256,6.600294985250738,0.08892841262783459,88.26144953312584
927,2012,48809,11041,10609,35,4713.0,828.0,2179.0,1943.0,3.0,47733.0,450.0,102900.0,Kent,60843.49379774733,573.598395428452,131162.83308797266,0.3170002717145186,96.0873109319808,7.49932071370347,0.13767783386874713,89.16934373565856
928,2014,48809,10715,10104,60,4595.0,605.0,1958.0,1711.0,4.0,45630.0,511.0,93900.0,Kent,56408.18316605839,631.7024237969721,116079.95615369016,0.5599626691553896,94.29771348576762,5.646290247316846,0.20429009193054137,87.38508682328907
929,2020,48809,11090,10600,4,5396.0,279.0,1169.0,1057.0,0.0,57276.0,634.0,137100.0,Kent,64765.82440468141,716.9064297885329,155028.1885236717,0.03606853020739405,95.58160504959423,2.515779981965735,0.0,90.41916167664671
940,2014,48838,17909,17146,38,6659.0,809.0,3628.0,3322.0,28.0,41453.0,625.0,106800.0,Kent,51244.54124003108,772.630166092187,132027.04278183292,0.2121838181919705,95.7395722820928,4.517281813613267,0.7717750826901874,91.56560088202866
941,2020,48838,17573,16853,81,8429.0,380.0,2016.0,1833.0,16.0,52861.0,626.0,137300.0,Kent,59773.4870426682,707.8602918732201,155254.3419715545,0.4609343879815626,95.90280544016389,2.162408239913504,0.7936507936507936,90.92261904761905
