datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
0,2012,48009,20153,18622,663,10031.0,489.0,797.0,767.0,0.0,100789.0,993.0,339600.0,Oakland,128472.01928186275,1265.7404592454507,432875.58908333845,3.289832779238823,92.40311616136555,2.4264377512032946,0.0,96.23588456712673
1,2013,48009,20241,18620,765,10138.0,553.0,704.0,669.0,0.0,98750.0,1070.0,347400.0,Oakland,124055.86116751158,1344.2002172074674,436425.37893259263,3.7794575366829704,91.99150239612668,2.7320784546218073,0.0,95.0284090909091
2,2015,48009,20489,18864,587,10669.0,407.0,827.0,730.0,37.0,108135.0,1121.0,410700.0,Oakland,133518.89706223606,1384.1465169165078,507108.8086508562,2.864951925423398,92.06891502757577,1.9864317438625605,4.474002418379685,88.27085852478838
3,2017,48009,20836,19063,580,10795.0,393.0,914.0,726.0,92.0,114537.0,1223.0,467700.0,Oakland,136748.63632098562,1460.1707938968664,558398.920936684,2.7836436936072184,91.49068919178345,1.8861585717028222,10.065645514223196,79.43107221006565
4,2020,48009,21277,19011,688,10729.0,362.0,1001.0,790.0,114.0,126646.0,1498.0,538500.0,Oakland,143207.1478028368,1693.8893246423065,608918.1584244875,3.2335385627673077,89.35000234995535,1.7013676740141936,11.38861138861139,78.92107892107893
5,2019,48009,21201,19096,712,10990.0,271.0,1118.0,899.0,114.0,122804.0,1371.0,541500.0,Oakland,140575.8677446735,1569.4074678182092,619864.4375080675,3.358332154143673,90.07122305551624,1.278241592377718,10.196779964221825,80.41144901610018
6,2014,48009,20382,18775,722,10510.0,467.0,654.0,582.0,16.0,107161.0,1124.0,371100.0,Oakland,132473.31396576777,1389.4980907001889,458756.887418897,3.542341281522912,92.11559218918653,2.291237366303601,2.4464831804281344,88.9908256880734
7,2011,48009,20037,18531,753,10033.0,437.0,809.0,786.0,0.0,100473.0,1056.0,342600.0,Oakland,130719.55425693188,1373.8999462076385,445736.85754804633,3.7580476119179513,92.4839047761641,2.180965214353446,0.0,97.15698393077874
8,2018,48009,21066,19277,586,10751.0,296.0,1101.0,852.0,142.0,117670.0,1307.0,488700.0,Oakland,137139.60124568408,1523.2553652427055,569559.9823979419,2.7817335991645304,91.50764264691921,1.405107756574575,12.897366030881017,77.3841961852861
9,2016,48009,20653,18787,656,10919.0,411.0,756.0,612.0,76.0,112545.0,1166.0,439000.0,Oakland,137232.9014362081,1421.7740732561965,535299.1579412266,3.176294000871544,90.9649929792282,1.9900256621314096,10.052910052910052,80.95238095238095
10,2017,48017,11980,11272,155,7019.0,294.0,772.0,670.0,8.0,62949.0,747.0,156100.0,Oakland,75156.41153312662,891.8622919386423,186371.75873041773,1.2938230383973288,94.09015025041737,2.4540901502504173,1.0362694300518136,86.78756476683938
11,2013,48017,11913,11101,80,6244.0,825.0,889.0,754.0,0.0,51868.0,709.0,126500.0,Oakland,65159.79146366067,890.6896766356023,158917.12848293892,0.6715352975740787,93.1839167296231,6.9252077562326875,0.0,84.81439820022497
12,2015,48017,11979,10931,197,6758.0,441.0,702.0,588.0,0.0,56302.0,722.0,126600.0,Oakland,69518.4809950341,891.484197336056,156318.42019770734,1.6445446197512315,91.25135654061273,3.6814425244177307,0.0,83.76068376068376
13,2014,48017,11943,11012,127,6518.0,692.0,950.0,804.0,0.0,54021.0,713.0,122900.0,Oakland,66781.20672394568,881.416493477967,151929.99586036766,1.063384409277401,92.20463870049402,5.794189064724106,0.0,84.63157894736842
14,2020,48017,11852,11164,68,6980.0,218.0,873.0,803.0,11.0,71938.0,850.0,190700.0,Oakland,81345.13366897077,961.1521535019763,215637.3125562669,0.5737428282146473,94.19507256159298,1.8393520080998988,1.2600229095074456,91.98167239404353
15,2016,48017,11982,11166,155,6773.0,402.0,776.0,647.0,9.0,59244.0,727.0,139400.0,Oakland,72239.77975642376,886.4749153149697,169978.82145104095,1.2936070772825905,93.18978467701552,3.355032548823235,1.1597938144329898,83.37628865979381
16,2018,48017,11993,11164,209,6911.0,205.0,830.0,746.0,11.0,67316.0,778.0,166500.0,Oakland,78454.0613364024,906.7273712003247,194048.98111163767,1.7426832318852663,93.08763445343116,1.7093304427582758,1.3253012048192772,89.87951807228916
