datapoint,Year,Zipcode,Total Population,White Population,Black Population,Employed Count,Unemployed Count,Poverty Count,Poverty Count - White,Poverty Count - Black,Median Income,Median Rent,Median Home Value,County,Adjusted Median Income,Adjusted Median Rent,Adjusted Median Home Value,% Black Population,% White Population,% Unemployed,% Black Poverty,% White Poverty
660,2019,48415,9107,8952,108,4373.0,152.0,600.0,591.0,9.0,62475.0,631.0,139600.0,Saginaw,71516.21557399169,722.3166390906564,159802.5401221167,1.1859009553091029,98.29801251784342,1.669045788953552,1.5,98.5
661,2016,48415,9265,8963,88,4237.0,350.0,912.0,843.0,5.0,55478.0,553.0,120400.0,Saginaw,67647.66898465459,674.3062285683334,146810.9763465232,0.9498111171073934,96.74042093901781,3.7776578521316786,0.5482456140350876,92.43421052631578
662,2011,48415,9878,9555,51,4227.0,612.0,1149.0,1136.0,4.0,55000.0,521.0,123900.0,Saginaw,71557.28886498116,677.8426817937308,161199.0561885667,0.5162988459202268,96.7301073091719,6.195586151042722,0.34812880765883375,98.86858137510879
663,2018,48415,9353,9126,96,4490.0,184.0,653.0,649.0,3.0,60768.0,591.0,136700.0,Saginaw,70822.63353869067,688.7864734953624,159318.29260036556,1.0264086389393778,97.5729712391746,1.9672832246338072,0.45941807044410415,99.3874425727412
664,2013,48415,9639,9277,59,4149.0,659.0,974.0,903.0,2.0,55547.0,586.0,119600.0,Saginaw,69781.57893946093,736.1694647510055,150248.92147477865,0.6120966905280631,96.2444236954041,6.836808797593111,0.20533880903490762,92.71047227926078
665,2017,48415,9277,8994,88,4328.0,348.0,775.0,700.0,4.0,58656.0,578.0,132400.0,Saginaw,70030.88968668407,690.0888952349869,158075.7261749347,0.9485825158995366,96.94944486364126,3.7512126765118032,0.5161290322580645,90.32258064516128
666,2014,48415,9349,8918,94,4137.0,533.0,920.0,849.0,2.0,56752.0,566.0,121000.0,Saginaw,70157.29149770207,699.6938784130846,149581.2001554474,1.0054551288907905,95.38988127072415,5.70114450743395,0.21739130434782608,92.28260869565217
667,2020,48415,9125,8951,113,4217.0,133.0,620.0,606.0,8.0,64986.0,642.0,139900.0,Saginaw,73484.03982056404,725.9525677038457,158194.33679403114,1.2383561643835617,98.0931506849315,1.4575342465753425,1.2903225806451613,97.74193548387096
668,2015,48415,9068,8666,71,4112.0,406.0,889.0,836.0,2.0,52944.0,540.0,116400.0,Saginaw,65372.21515756253,666.7610340186568,143724.04511068825,0.7829730921923246,95.56682840758712,4.477282752536392,0.22497187851518563,94.03824521934759
669,2012,48415,9707,9340,64,4171.0,582.0,1107.0,1100.0,1.0,55301.0,541.0,117500.0,Saginaw,70490.14414575294,689.5927376150943,149772.91436187358,0.6593180179252086,96.21922324096013,5.995673225507366,0.09033423667570009,99.3676603432701
670,2017,48417,2677,2635,0,1232.0,76.0,250.0,236.0,0.0,56705.0,600.0,101900.0,Saginaw,67701.54118390991,716.3552545691905,121661.0007343342,0.0,98.43107956667912,2.838998879342548,0.0,94.39999999999999
671,2019,48417,2691,2555,35,1164.0,106.0,330.0,294.0,35.0,53684.0,703.0,130700.0,Saginaw,61453.005472175595,804.7362872911751,149614.55583066374,1.3006317354143442,94.94611668524712,3.9390561129691566,10.606060606060606,89.0909090909091
672,2011,48417,2770,2721,0,1233.0,195.0,320.0,320.0,0.0,42760.0,419.0,111100.0,Saginaw,55632.53948848353,545.1364369895838,144545.72350726195,0.0,98.23104693140795,7.039711191335741,0.0,100.0
673,2018,48417,2610,2477,30,1189.0,106.0,317.0,270.0,30.0,55357.0,675.0,115100.0,Saginaw,64516.333017398945,786.6850585606932,134144.3707264234,1.1494252873563218,94.90421455938697,4.061302681992337,9.46372239747634,85.17350157728707
674,2012,48417,2830,2785,0,1187.0,209.0,426.0,399.0,0.0,42361.0,290.0,106000.0,Saginaw,53996.00361943256,369.6522992761135,135114.28870092425,0.0,98.40989399293287,7.385159010600708,0.0,93.66197183098592
675,2013,48417,2741,2699,0,1075.0,180.0,311.0,285.0,0.0,46382.0,308.0,103000.0,Saginaw,58267.93876123062,386.9286606541121,129394.97417978426,0.0,98.46771251368114,6.566946369937979,0.0,91.63987138263666
676,2016,48417,2755,2692,0,1139.0,122.0,291.0,243.0,0.0,52727.0,609.0,96300.0,Saginaw,64293.20888557416,742.5904036132279,117424.39387184539,0.0,97.71324863883848,4.428312159709619,0.0,83.50515463917526
677,2020,48417,2615,2402,31,1068.0,122.0,292.0,259.0,31.0,55962.0,637.0,139700.0,Saginaw,63279.996252091296,720.2987315067752,157968.18334614832,1.18546845124283,91.85468451242829,4.665391969407265,10.616438356164384,88.6986301369863
678,2014,48417,2751,2686,0,1139.0,146.0,253.0,197.0,0.0,48333.0,552.0,95500.0,Saginaw,59749.65410837388,682.3869626926196,118057.88937888618,0.0,97.63722282806252,5.307161032351872,0.0,77.86561264822134
679,2015,48417,2862,2797,0,1243.0,147.0,271.0,213.0,0.0,46629.0,569.0,93800.0,Saginaw,57574.815287511025,702.5685710307698,115818.86109435187,0.0,97.7288609364081,5.136268343815513,0.0,78.59778597785979
690,2017,48457,8019,7785,95,3308.0,305.0,1196.0,1140.0,33.0,48137.0,533.0,102800.0,Saginaw,57471.98814866188,636.3622511422976,122735.53361618795,1.184686369871555,97.08193041526376,3.8034667664297293,2.7591973244147154,95.31772575250837
691,2015,48457,8304,7984,147,3378.0,439.0,1288.0,1211.0,61.0,44674.0,538.0,97300.0,Saginaw,55160.89339583236,664.2915487074766,120140.46038891724,1.7702312138728324,96.14643545279384,5.286608863198459,4.736024844720497,94.02173913043478
692,2020,48457,8574,8063,171,3536.0,242.0,1417.0,1245.0,120.0,53888.0,585.0,122700.0,Saginaw,60934.78499754648,661.4988350572427,138745.14027610884,1.9944016794961512,94.04012129694425,2.822486587357126,8.468595624558928,87.86167960479887
693,2019,48457,8118,7692,125,3464.0,241.0,1131.0,1000.0,84.0,55283.0,583.0,114500.0,Saginaw,63283.408492628776,667.3702069569774,131070.13498554703,1.5397881251539787,94.75240206947524,2.9687115052968713,7.427055702917771,88.41732979664015
694,2014,48457,8306,7934,161,3104.0,567.0,1547.0,1426.0,82.0,41333.0,522.0,99100.0,Saginaw,51096.19624814139,645.3007147201946,122508.23913557715,1.938357813628702,95.5213098964604,6.826390561040212,5.300581771170006,92.17840982546865
695,2012,48457,8519,8103,121,3490.0,530.0,852.0,736.0,54.0,48142.0,549.0,103900.0,Saginaw,61364.83100603674,699.7900424227112,132437.4961889248,1.4203545017020778,95.11679774621435,6.2213874867942245,6.338028169014084,86.3849765258216
696,2011,48457,8606,8237,87,3479.0,576.0,855.0,755.0,32.0,49764.0,513.0,116000.0,Saginaw,64745.03496503496,667.4343488679152,150920.82742432394,1.0109226121310715,95.71229374854752,6.6930048803160584,3.7426900584795324,88.30409356725146
697,2013,48457,8150,7751,131,2932.0,647.0,1320.0,1203.0,66.0,42466.0,530.0,101000.0,Saginaw,53348.41721862833,665.8187991775308,126882.45040930301,1.607361963190184,95.1042944785276,7.938650306748467,5.0,91.13636363636364
698,2018,48457,8140,7792,140,3520.0,223.0,942.0,874.0,55.0,54420.0,517.0,110100.0,Saginaw,63424.2976101821,602.5424818901903,128317.07399634414,1.71990171990172,95.72481572481573,2.7395577395577395,5.83864118895966,92.78131634819533
699,2016,48457,8284,7996,127,3422.0,354.0,1236.0,1151.0,58.0,46496.0,532.0,93200.0,Saginaw,56695.375051560986,648.6996629264979,113644.37703900301,1.5330758087880252,96.52341863833897,4.273297923708354,4.692556634304207,93.12297734627832
